Representation,Purity,ARI,Silhouette
Individual frames,0.21306956380736175,0.02523052034325874,0.08627422899007797
Event mean-pool,0.2503987240829346,0.026201630856301276,0.1842514969846786
Event concat+PCA,0.2838915470494418,0.05103805304660078,0.06272055953741074
Normalized mean-pool,0.3141945773524721,0.06547072667698821,0.03449723869562149
