Representation,Purity,ARI,Silhouette
Individual frames,0.1991243716555862,0.017440531722413638,0.06462960690259933
Event mean-pool,0.2711323763955343,0.03576132545328774,0.05914813442648529
Event concat+PCA,0.3237639553429027,0.07214061029021443,0.034261554479599
Normalized mean-pool,0.2886762360446571,0.04692937286482359,0.048046428710222244
